Year,fua_code,fua_name,ndvi
2000,ES510L1,Donostia-San SebastiÃ¡n,0.6397057452203092
2000,ES514L1,AlmerÃ­a,0.16020181202947312
2000,ES515L1,Burgos,0.3543930325695539
2000,ES516L1,Salamanca,0.3014622684729124
2000,ES519L1,Albacete,0.24509803575131336
2000,ES520L1,CastellÃ³n/CastellÃ³,0.3296109383438751
2000,ES521L1,Huelva,0.3099427987900307
2000,ES522L1,CÃ¡diz,0.2685993472991421
2000,ES523L1,LeÃ³n,0.4504856340107553
2000,ES525L1,Tarragona,0.3014129982108857
2000,ES527L1,JaÃ©n,0.26225178857277914
2000,ES528L1,Lleida,0.41972204677116454
2000,ES529L1,Ourense,0.5810726226755036
2000,ES532L1,Algeciras,0.556698787278331
2000,ES533L1,Marbella,0.4269717576104388
2000,ES537L1,Alcoy,0.31124228603333537
2000,ES538L1,Ãvila,0.3655472956305119
2000,ES542L1,Cuenca,0.39490072730879733
2000,ES543L1,Eivissa,0.3434122582675876
2000,ES544L1,Linares,0.2678947166515197
2000,ES545L1,Lorca,0.23223668441092182
2000,ES546L1,MÃ©rida,0.31931952762615234
2000,ES547L1,Sagunto,0.34536992236968767
2000,ES550L1,Puerto de la Cruz,
2000,ES552L1,Igualada,0.382838456044825
2000,FI001L3,Helsinki,0.6662116553191905
2000,FI002L3,Tampere,0.6622170157654292
2000,FI003L4,Turku,0.5540281572331368
2000,FI004L4,Oulu,
2000,FI007L2,Lahti,0.6974527532319645
2000,FI008L2,Kuopio,0.713621984037372
2000,FI009L2,JyvÃ¤skylÃ¤,
2000,FR001L1,Paris,0.5272486874121108
2000,FR003L2,Lyon,0.5411194909547336
2000,FR004L2,Toulouse,0.4574835418429915
2000,FR006L2,Strasbourg,0.6318780610027517
2000,FR007L2,Bordeaux,0.6107031060008642
2000,FR008L2,Nantes,0.5923424190222738
2000,FR009L2,Lille,0.5488585496606317
2000,FR010L2,Montpellier,0.5015711339472978
2000,FR011L2,Saint-Etienne,0.6075991974929489
2000,FR012L2,Le Havre,0.5766926649766487
2000,FR013L2,Rennes,0.6088566526532617
2000,FR014L2,Amiens,0.6051006540010998
2000,FR016L2,Nancy,0.6825548529128996
2000,FR017L2,Metz,0.6448536379115468
2000,FR018L2,Reims,0.5504605577089559
2000,FR019L2,OrlÃ©ans,0.5115357828661603
2000,FR020L2,Dijon,0.6202537775677289
2000,FR021L2,Poitiers,0.5051940245284452
2000,FR022L2,Clermont-Ferrand,0.6449540174173877
2000,FR023L2,Caen,0.5951369699836506
2000,FR024L2,Limoges,0.6422988104461629
2000,FR025L2,BesanÃ§on,0.6517731609571462
2000,FR026L2,Grenoble,0.6208373225984785
2000,FR027L2,Ajaccio,0.6524207433708396
2000,FR032L2,Toulon,0.5167848279036755
2000,FR034L2,Valenciennes,0.6094509488060565
2000,FR035L2,Tours,0.5651267810281314
2000,FR036L2,Angers,0.5505952102995556
2000,FR037L2,Brest,0.611576217864085
2000,FR038L2,Le Mans,0.6175175766374612
2000,FR039L1,Avignon,0.4393304747789147
2000,FR040L2,Mulhouse,0.607750678425227
2000,FR042L2,Dunkerque,0.523969273514109
2000,FR043L2,Perpignan,0.4768327927998883
2000,FR044L2,NÃ®mes,0.47217494980563834
2000,FR045L2,Pau,0.607352117329056
2000,FR046L2,Bayonne,0.6594257007673405
2000,FR047L0,Annemasse,0.5951289144182597
2000,FR048L2,Annecy,0.65270989029998
2000,FR049L2,Lorient,0.6161450475303607
2000,FR050L2,MontbÃ©liard,0.7077368967257833
2000,FR051L2,Troyes,0.5486933044763996
2000,FR052L2,Saint-Nazaire,0.6112203911814247
2000,FR053L2,La Rochelle,0.3917143523855578
2000,FR056L2,AngoulÃªme,0.5105217201827293
2000,FR057L2,Boulogne-sur-Mer,0.6081624588954884
2000,FR058L2,ChambÃ©ry,0.6498225797315731
2000,FR059L2,Chalon-sur-SaÃ´ne,0.6085617430424366
2000,FR060L2,Chartres,0.42218825299695134
2000,FR061L2,Niort,0.4623558131110668
2000,FR062L2,Calais,0.5538944792668964
2000,FR063L2,BÃ©ziers,0.4166026737823358
2000,FR064L2,Arras,0.549749478829392
2000,FR065L2,Bourges,0.5544085214109173
2000,FR066L2,Saint-Brieuc,0.6129620836054596
2000,FR067L2,Quimper,0.6299770060975005
2000,FR068L2,Vannes,0.6192865269220825
